id,num_sold
230130,163.0
230131,1056.0
230132,797.0
230133,470.0
230134,542.0
230135,330.0
230136,2136.0
230137,1612.0
230138,950.0
230139,1096.0
230140,390.0
230141,2523.0
230142,1904.0
230143,1123.0
230144,1296.0
230145,168.0
230146,1089.0
230147,822.0
230148,484.0
230149,559.0
230150,340.0
230151,2203.0
230152,1663.0
230153,980.0
230154,1131.0
230155,402.0
230156,2602.0
230157,1964.0
230158,1158.0
230159,1336.0
230160,117.0
230161,759.0
230162,573.0
230163,338.0
230164,390.0
230165,237.0
230166,1536.0
230167,1160.0
230168,684.0
230169,788.0
230170,280.0
230171,1814.0
230172,1370.0
230173,808.0
230174,932.0
230175,6.0
230176,36.0
230177,26.0
230178,16.0
230179,18.0
230180,11.0
230181,71.0
230182,54.0
230183,32.0
230184,37.0
230185,13.0
230186,84.0
230187,64.0
230188,38.0
230189,44.0
230190,274.0
230191,1774.0
230192,1340.0
230193,790.0
230194,911.0
230195,554.0
230196,3590.0
230197,2710.0
230198,1598.0
230199,1844.0
230200,655.0
230201,4242.0
230202,3202.0
230203,1888.0
230204,2178.0
230205,222.0
230206,1438.0
230207,1084.0
230208,640.0
230209,738.0
230210,449.0
230211,2908.0
230212,2195.0
230213,1294.0
230214,1493.0
230215,531.0
230216,3436.0
230217,2593.0
230218,1529.0
230219,1764.0
230220,112.0
230221,714.0
230222,546.0
230223,314.0
230224,370.0
230225,226.0
230226,1444.0
230227,1104.0
230228,634.0
230229,748.0
230230,266.0
230231,1705.0
230232,1304.0
230233,750.0
230234,883.0
230235,115.0
230236,736.0
230237,564.0
230238,324.0
230239,381.0
230240,233.0
230241,1490.0
230242,1140.0
230243,655.0
230244,772.0
230245,276.0
230246,1760.0
230247,1346.0
230248,774.0
230249,912.0
230250,80.0
230251,513.0
230252,393.0
230253,226.0
230254,266.0
230255,162.0
230256,1038.0
230257,794.0
230258,456.0
230259,538.0
230260,192.0
230261,1226.0
230262,938.0
230263,539.0
230264,636.0
230265,4.0
230266,24.0
230267,18.0
230268,10.0
230269,12.0
230270,8.0
230271,48.0
230272,36.0
230273,21.0
230274,25.0
230275,9.0
230276,57.0
230277,44.0
230278,25.0
230279,30.0
230280,188.0
230281,1200.0
230282,918.0
230283,528.0
230284,622.0
230285,380.0
230286,2427.0
230287,1857.0
230288,1067.0
230289,1258.0
230290,448.0
230291,2868.0
230292,2194.0
230293,1260.0
230294,1486.0
230295,152.0
230296,972.0
230297,744.0
230298,428.0
230299,504.0
230300,308.0
230301,1966.0
230302,1504.0
230303,864.0
230304,1018.0
230305,364.0
230306,2322.0
230307,1777.0
230308,1021.0
230309,1203.0
230310,110.0
230311,705.0
230312,532.0
230313,308.0
230314,372.0
230315,222.0
230316,1426.0
230317,1076.0
230318,622.0
230319,752.0
230320,262.0
230321,1686.0
230322,1272.0
230323,735.0
230324,889.0
230325,112.0
230326,728.0
230327,550.0
230328,318.0
230329,384.0
230330,228.0
230331,1472.0
230332,1111.0
230333,642.0
230334,776.0
230335,270.0
230336,1739.0
230337,1313.0
230338,758.0
230339,917.0
230340,79.0
230341,507.0
230342,383.0
230343,221.0
230344,268.0
230345,159.0
230346,1026.0
230347,774.0
230348,448.0
230349,541.0
230350,188.0
230351,1212.0
230352,915.0
230353,528.0
230354,640.0
230355,4.0
230356,24.0
230357,18.0
230358,10.0
230359,12.0
230360,7.0
230361,48.0
230362,36.0
230363,20.0
230364,25.0
230365,9.0
230366,56.0
230367,42.0
230368,24.0
230369,30.0
230370,184.0
230371,1186.0
230372,895.0
230373,517.0
230374,625.0
230375,372.0
230376,2398.0
230377,1810.0
230378,1046.0
230379,1265.0
230380,439.0
230381,2834.0
230382,2139.0
230383,1236.0
230384,1494.0
230385,149.0
230386,960.0
230387,725.0
230388,418.0
230389,506.0
230390,302.0
230391,1942.0
230392,1466.0
230393,847.0
230394,1025.0
230395,356.0
230396,2295.0
230397,1732.0
230398,1001.0
230399,1210.0
230400,109.0
230401,700.0
230402,530.0
230403,308.0
230404,368.0
230405,220.0
230406,1415.0
230407,1074.0
230408,624.0
230409,744.0
230410,260.0
230411,1672.0
230412,1268.0
230413,737.0
230414,878.0
230415,112.0
230416,722.0
230417,548.0
230418,318.0
230419,379.0
230420,228.0
230421,1460.0
230422,1108.0
230423,644.0
230424,767.0
230425,269.0
230426,1726.0
230427,1309.0
230428,760.0
230429,906.0
230430,78.0
230431,504.0
230432,382.0
230433,222.0
230434,264.0
230435,158.0
230436,1018.0
230437,772.0
230438,449.0
230439,535.0
230440,188.0
230441,1203.0
230442,912.0
230443,530.0
230444,632.0
230445,4.0
230446,23.0
230447,18.0
230448,10.0
230449,12.0
230450,7.0
230451,47.0
230452,36.0
